,0,1,2,3,4,5,6,7,8,9,10
47,192.886886597,233.751312256,283.306854248,296.452880859,214.240722656,174.204193115,284.564361572,285.545806885,237.310623169,296.279785156,227.140311501
48,200.129653931,261.783081055,359.731109619,287.205200195,263.882263184,192.839828491,261.344207764,261.013061523,198.761505127,239.591308594,229.661929044
49,198.257598877,278.732025146,293.363677979,247.664535522,309.26385498,288.930053711,278.70111084,299.346405029,221.30682373,273.176422119,244.431137085
50,276.049438477,243.195709229,264.595336914,232.078659058,307.783050537,241.125946045,225.849868774,250.525741577,312.590545654,299.647369385,241.221969604
51,170.185684204,289.000732422,285.408508301,279.807342529,238.343444824,227.86038208,320.532928467,281.259796143,301.62008667,305.080780029,245.372698697
52,361.130615234,219.583267212,271.517242432,240.410842896,264.292022705,226.593154907,207.86315918,240.963287354,281.581787109,205.349136353,229.025865035
53,249.420303345,253.011566162,176.931777954,175.72756958,213.495010376,242.206436157,355.92300415,237.988677979,233.433822632,233.073348999,215.564683394
54,225.834777832,299.463287354,272.570770264,361.595153809,301.309997559,313.386413574,171.99307251,293.93069458,317.93939209,281.802825928,258.166035045
55,255.93800354,316.646484375,223.911529541,215.342224121,281.454956055,231.742233276,317.549102783,244.422775269,160.713699341,156.651519775,218.579320734
56,395.665344238,347.006988525,211.286499023,296.052185059,235.715896606,237.608169556,260.356109619,255.267196655,293.504150391,234.821090698,251.571239125
57,285.767852783,225.501525879,240.03968811,291.367889404,288.482879639,197.442489624,273.097808838,285.783782959,318.920318604,266.865112305,243.024486195
58,267.399536133,220.25340271,259.208679199,417.009155273,217.216506958,291.774902344,256.207977295,205.214736938,298.864929199,363.150177002,254.209091187
59,444.135253906,276.513183594,203.777206421,181.806472778,300.268188477,216.797302246,277.390472412,260.191619873,218.218994141,214.152206421,235.750081843
60,203.863235474,223.826629639,204.926086426,278.805450439,294.59954834,317.992858887,157.393280029,216.325576782,259.548126221,301.831848145,223.55569458
61,292.255950928,206.0181427,266.119049072,257.061828613,212.27796936,247.950653076,214.953292847,176.591461182,282.332977295,240.064620972,217.784176913
62,241.773468018,274.478179932,315.704711914,339.635192871,251.472229004,345.478820801,220.771255493,316.055236816,314.709503174,324.377197266,267.677799572
63,253.75227356,307.427520752,240.832397461,265.562927246,280.713043213,386.980224609,299.606719971,330.877929688,307.265014648,310.421142578,271.221744884
64,259.941192627,251.075927734,379.141967773,299.474029541,229.340713501,297.937286377,273.84161377,272.186340332,277.899749756,306.026245117,258.805915139
65,258.184204102,270.040252686,297.312347412,266.871948242,192.153060913,225.286376953,245.460571289,210.892425537,209.266235352,256.612213135,221.098148693
66,251.145202637,267.227874756,315.922149658,198.864807129,275.246948242,268.664978027,322.683532715,205.508666992,325.766815186,304.552703857,248.689425382
67,193.794235229,170.959777832,223.486175537,361.330230713,282.657562256,287.682159424,257.643829346,171.382858276,298.021087646,177.288497925,220.386037653
68,229.144256592,231.458251953,241.738830566,273.427978516,282.018615723,239.17489624,281.447174072,353.172424316,211.462402344,213.765029907,232.437260021
69,252.929290771,249.73387146,263.320922852,375.495910645,283.835571289,210.413467407,264.647064209,221.614212036,266.937316895,268.529815674,241.587040294
70,304.54019165,217.275512695,345.070526123,257.924835205,191.753509521,194.688095093,409.423553467,219.253829956,284.612304688,231.472412109,241.455888228
71,267.350738525,267.017791748,285.492523193,260.11239624,397.548187256,205.412734985,279.825286865,221.45111084,198.674255371,220.210906982,236.645084728
72,294.423828125,221.76133728,296.368225098,267.668365479,211.983703613,305.11416626,254.721572876,134.011032104,215.44128418,258.808441162,223.663814198
73,269.137969971,281.952880859,244.668457031,264.243896484,342.90322876,249.232406616,293.001831055,251.824295044,235.899017334,384.414611816,256.116235906
74,237.733535767,308.511932373,357.776184082,268.265808105,187.249069214,204.54624939,289.144439697,251.947174072,293.810119629,272.734771729,242.883571278
75,241.421005249,259.382904053,272.920684814,228.678405762,266.937438965,241.484573364,318.000518799,238.865203857,264.705718994,230.742965698,233.012674505
76,275.769317627,230.361633301,258.6434021,221.384353638,249.124023438,195.531463623,201.256088257,357.077453613,227.250549316,333.468505859,231.806071888
77,227.039291382,229.204696655,202.510467529,292.92666626,222.926773071,258.827209473,339.705535889,280.061065674,291.099884033,202.856262207,231.559804743
78,244.411331177,186.169891357,217.505279541,332.738739014,259.258850098,225.289978027,236.942550659,224.096542358,166.10899353,235.689453125,211.655600808
79,357.094696045,277.97769165,281.682617188,262.592498779,248.180953979,193.047470093,204.9972229,223.757781982,362.970458984,285.51776123,245.256286621
80,302.424987793,346.882141113,274.869689941,284.266784668,200.323745728,302.71005249,237.386184692,235.906845093,355.510040283,224.797454834,251.370720603
81,264.98059082,264.541900635,210.336746216,251.056900024,209.627655029,287.209503174,234.377471924,279.661315918,295.368682861,317.969390869,237.739105225
82,240.451477051,232.121780396,248.6693573,188.835845947,215.799102783,232.378555298,212.093307495,266.129730225,306.612884521,233.920562744,216.092054887
83,292.296844482,259.445159912,250.197479248,276.193389893,279.910217285,203.719085693,333.85357666,185.187332153,215.8359375,247.573440552,231.292042125
84,229.462860107,231.714599609,272.532165527,233.678985596,326.970245361,186.665039062,413.237182617,256.869689941,255.342895508,253.092269897,241.778721203
85,191.231140137,412.228149414,261.939575195,251.75819397,268.627471924,223.548156738,209.993286133,248.675918579,163.726119995,259.717926025,226.495085283
86,214.307403564,255.705734253,272.001495361,290.021392822,241.792785645,308.66595459,294.028137207,237.594161987,268.691253662,224.23248291,237.003709273
87,234.828323364,264.542663574,304.76675415,277.505706787,177.267181396,238.920349121,227.879425049,292.369354248,234.35446167,264.1534729,228.780699296
88,247.312133789,202.963973999,315.881896973,209.340103149,283.917510986,239.122909546,197.555526733,190.439117432,194.911956787,357.097808838,221.685721657
89,229.060012817,268.441589355,181.206375122,193.450134277,185.841934204,239.113342285,161.524383545,185.360305786,236.14352417,296.798278809,197.903625488
90,361.931854248,304.606506348,225.239715576,224.526245117,304.081298828,310.574890137,212.481918335,258.686187744,280.499450684,188.440551758,242.824419889
91,206.681716919,239.845581055,226.80708313,298.068847656,195.760406494,267.535675049,216.720230103,227.877456665,283.686096191,245.004959106,218.908004761
92,279.689575195,221.355209351,296.466888428,324.143951416,303.940826416,252.703430176,245.415328979,212.314971924,232.018569946,267.27532959,239.574916493
93,376.145721436,331.110107422,424.544891357,273.848754883,269.510223389,291.586303711,168.838500977,231.284301758,248.024032593,208.434524536,256.666123824
94,202.843521118,244.249816895,298.209991455,256.056671143,303.256835938,295.783477783,375.189300537,242.447784424,285.691680908,248.344406128,250.188498757
95,204.752960205,325.742340088,219.660354614,340.744812012,250.612289429,270.169219971,218.575637817,202.251174927,149.165283203,249.292709351,220.996980147
96,264.776184082,276.855163574,381.895965576,130.036743164,263.06463623,238.141693115,266.990753174,158.771575928,277.491516113,282.278411865,230.936603893
97,292.359313965,247.754364014,361.293151855,243.831100464,261.016662598,286.179077148,267.942108154,245.398620605,246.553634644,237.416992188,244.522275058
98,249.938537598,271.231872559,352.314453125,311.380432129,172.473144531,219.321090698,234.783309937,268.437866211,211.414642334,210.257659912,227.413909912
99,281.895294189,214.577667236,219.048629761,270.177001953,334.379333496,207.651184082,186.322601318,222.166976929,302.969604492,248.396881104,226.144106778
100,238.130844116,320.314788818,312.488525391,246.016464233,177.889923096,240.992782593,230.579605103,352.611877441,228.450424194,303.070739746,240.958724976
101,277.933959961,242.470718384,271.860046387,199.57421875,368.932617188,285.073791504,229.246307373,212.730834961,255.061096191,306.668365479,240.868359652
102,176.844192505,262.176239014,230.736083984,253.033157349,255.417999268,282.282897949,241.765075684,208.684204102,240.659362793,235.561782837,217.014635953
103,235.711090088,177.915603638,219.67086792,252.173675537,194.561065674,230.281265259,257.647979736,292.63180542,225.68170166,247.107299805,212.125668612
104,230.808120728,214.6771698,196.007263184,194.864807129,316.908966064,193.118942261,181.530609131,232.663711548,201.478149414,223.519119263,198.68880532
105,208.227996826,218.776306152,277.063354492,215.044158936,269.552856445,269.929931641,210.977371216,219.262145996,245.476028442,233.667572021,215.270702015
106,204.987579346,199.040802002,182.592407227,196.686080933,170.224578857,217.852325439,237.464920044,324.247680664,361.647186279,218.903640747,210.331563776
107,306.855194092,217.088088989,289.273620605,294.830078125,258.833374023,179.349884033,217.395828247,300.646789551,255.793930054,249.152130127,233.565356168
108,228.199111938,315.255462646,284.427612305,226.527603149,231.780410767,179.84375,226.139587402,275.69354248,227.985046387,237.405334473,221.205223777
109,236.159820557,206.28175354,320.161804199,226.859359741,283.363708496,198.427780151,248.626541138,311.709594727,237.683395386,164.878799438,221.286596125
110,230.07194519,272.790130615,216.093811035,319.168182373,248.794540405,237.326416016,250.295883179,215.569503784,273.189849854,281.937133789,231.38521784
111,189.990005493,257.033569336,208.908462524,230.469146729,221.274642944,190.055618286,185.130401611,258.139099121,226.489227295,236.451431274,200.358327692
112,191.341339111,217.365539551,188.771987915,380.582244873,229.687667847,270.041534424,275.162414551,197.902954102,231.460952759,178.934417725,214.659186623
113,240.216094971,291.809692383,199.652420044,193.349655151,190.183181763,279.319519043,272.983154297,194.418762207,316.558013916,278.399353027,223.353622437
114,323.763336182,188.192382812,222.240722656,208.621414185,252.373886108,310.915161133,189.502029419,234.916976929,253.047775269,244.914855957,220.771685514
115,206.449417114,400.916992188,182.712554932,345.029418945,242.296798706,174.956558228,214.661514282,255.753997803,164.378005981,182.792816162,215.44982494
116,150.935852051,298.768920898,222.611618042,170.494293213,227.407577515,212.102478027,246.90725708,271.96875,261.493133545,293.082672119,214.161141135
117,192.251586914,283.457397461,254.214248657,310.950042725,271.652496338,201.421356201,277.298248291,248.721801758,185.963562012,279.532073975,227.769346757
118,303.808624268,352.096923828,253.387145996,256.985198975,254.753845215,214.463134766,271.945617676,278.131652832,189.379089355,155.660766602,230.055636319
119,207.87991333,343.58706665,211.723419189,325.442016602,215.643493652,378.608978271,218.267059326,214.852783203,200.454498291,258.532043457,234.090115634
120,252.257156372,226.423477173,231.087387085,267.306152344,223.521896362,312.944366455,212.583892822,239.74230957,316.658691406,192.898162842,225.038499312
121,248.875305176,173.617599487,262.004089355,326.446044922,203.467346191,323.643859863,357.95703125,242.636260986,272.965423584,226.845184326,239.859831377
122,209.940719604,290.102752686,283.519683838,266.761291504,267.397460938,265.634399414,243.687576294,315.879455566,269.104400635,202.435913086,237.67851396
123,233.962112427,272.207702637,267.028533936,290.00881958,206.580093384,164.149581909,252.235900879,222.558135986,191.697875977,286.968139648,217.036081487
124,259.603302002,344.638031006,211.513305664,237.233306885,248.132949829,334.869262695,260.33493042,287.505493164,210.732131958,346.874511719,249.22156594
125,217.430343628,306.72052002,215.384872437,172.666442871,241.379043579,214.384216309,160.154129028,208.589660645,305.037506104,215.43347168,205.198200573
126,241.29335022,137.221130371,322.015045166,189.777938843,264.797637939,238.934387207,242.668289185,183.717422485,229.450714111,201.711410522,204.689756914
127,215.496383667,246.848464966,466.722991943,268.104003906,150.137176514,181.2552948,231.740249634,334.535980225,211.064315796,259.735626221,233.240044334
128,186.658035278,266.317474365,257.619720459,174.218933105,170.139053345,284.188140869,172.66027832,307.528961182,234.291412354,192.968093872,204.235463923
129,226.440338135,186.972412109,235.729156494,266.514129639,326.324920654,169.918060303,242.323348999,278.852600098,271.705108643,293.409179688,227.108114069
130,331.037078857,255.749969482,182.09413147,242.532165527,305.981018066,184.303100586,147.800231934,268.452758789,241.975402832,233.206588745,217.557495117
131,220.082305908,268.240142822,164.841964722,211.876373291,262.50567627,160.31262207,295.830596924,261.210083008,159.900390625,336.189056396,212.817201094
132,256.815612793,288.517974854,212.417526245,269.120117188,240.777481079,197.778671265,309.110778809,182.222839355,279.652282715,233.414886475,224.529833707
133,246.405914307,237.963088989,192.107131958,245.11239624,185.296600342,268.474639893,285.736938477,228.283248901,212.551986694,191.66595459,208.508900036
134,238.316238403,200.618652344,216.413589478,226.476715088,198.997421265,281.830718994,253.365280151,151.495697021,317.778320312,209.678619385,208.633750222
135,333.216217041,272.741912842,194.429702759,263.120758057,302.903717041,242.763336182,193.617874146,167.438232422,233.181213379,250.630249023,223.094837536
136,193.249786377,252.856430054,204.174041748,275.238220215,292.095855713,259.890258789,214.968612671,300.926086426,156.886230469,234.252471924,216.776181308
137,275.697784424,343.548278809,271.296813965,341.977111816,227.240402222,305.562103271,243.433609009,186.331817627,251.225601196,229.586547852,243.263642745
138,235.615966797,222.871582031,261.078857422,220.02947998,203.974578857,310.496795654,184.822723389,196.984573364,238.313858032,251.736526489,211.447722002
139,212.998809814,376.95715332,217.166549683,264.524230957,188.809005737,193.071731567,258.981201172,196.948043823,240.541503906,276.206939697,220.564106334
140,149.186782837,202.791549683,230.915557861,202.312637329,218.789993286,204.076766968,306.669067383,327.60534668,281.024475098,197.698791504,211.006451693
141,226.334701538,326.993499756,232.166320801,203.073318481,187.234573364,158.26550293,217.963485718,231.624603271,208.230636597,156.570388794,195.314275568
142,228.175033569,249.339111328,184.281677246,262.61050415,216.160186768,217.269226074,204.18258667,278.63848877,221.565811157,290.414581299,213.87610973
143,249.275314331,272.680480957,218.674255371,345.70526123,154.621398926,175.453720093,290.875793457,311.735992432,291.222595215,186.906799316,227.013782848
144,245.215698242,159.71887207,252.098968506,208.733093262,171.99798584,254.458648682,239.262435913,260.556243896,225.719970703,222.779403687,203.685574618
145,257.716308594,167.655975342,200.123718262,164.592163086,239.917449951,242.988067627,279.429504395,266.119262695,222.778060913,197.526382446,203.531535756
146,261.558044434,256.293548584,277.94708252,219.611358643,160.085296631,206.902313232,236.31477356,262.669586182,372.409576416,455.472717285,246.296754317
147,222.492553711,200.990783691,237.336120605,257.410675049,232.02772522,267.270812988,210.31312561,212.450683594,171.496276855,230.786315918,203.870461204
148,249.786605835,176.1512146,240.869522095,247.850311279,167.679397583,184.70892334,403.485870361,223.072158813,234.879486084,176.481658936,209.542286266
149,161.596466064,337.339385986,267.547485352,215.103225708,218.548568726,204.816726685,248.348358154,313.395843506,260.989959717,302.954406738,230.058220603
150,158.33605957,199.209838867,213.654937744,183.802734375,306.570098877,244.082931519,335.185302734,237.481903076,146.540100098,303.54901123,211.673901645
151,226.986785889,294.984588623,216.567428589,357.485961914,228.412231445,222.606735229,205.836044312,240.591049194,232.242034912,290.706054688,228.76535589
152,264.751739502,256.936828613,130.489273071,220.461898804,265.056884766,247.727676392,193.277114868,194.582366943,188.643066406,309.182830811,206.46451638
153,203.358322144,337.719543457,237.803192139,185.567764282,144.291687012,193.674865723,238.593093872,294.6824646,277.694274902,196.448577881,209.984889637
154,289.535461426,185.915969849,213.616012573,208.522262573,300.646026611,215.19581604,187.401550293,255.565536499,220.792572021,185.238235474,205.675403942
155,232.305862427,241.480331421,231.552886963,178.324157715,169.624572754,175.175491333,218.661972046,218.362319946,216.565734863,240.488861084,192.958380959
156,314.957794189,232.694015503,232.789138794,280.04888916,268.704803467,217.591537476,281.743041992,165.601470947,166.894317627,278.70880127,221.793982766
157,207.083236694,216.169525146,242.864395142,221.902770996,223.768157959,262.097595215,169.9190979,204.177047729,243.661224365,271.502868652,205.740538164
158,242.508529663,325.194152832,227.814941406,207.781890869,233.109954834,314.718475342,240.636184692,261.4871521,234.434143066,260.829620361,231.683185924
159,313.323364258,278.138061523,224.628967285,234.26852417,204.42250061,220.953231812,131.582321167,247.447097778,173.211074829,188.474273682,201.495401556
160,233.720870972,182.920806885,158.373886108,230.838256836,253.369171143,253.47253418,179.908706665,235.370483398,249.203994751,302.848632812,207.275213068
161,189.359985352,185.98109436,222.153594971,224.82522583,233.785888672,221.190826416,290.472625732,189.539337158,272.920654297,156.462921143,198.790195812
162,224.356109619,299.114593506,235.167694092,202.949203491,291.290893555,196.889434814,175.897781372,259.71887207,203.019897461,205.135406494,208.503626043
163,179.710739136,334.177062988,364.845977783,141.482284546,166.104354858,310.895294189,227.029785156,190.91847229,179.407775879,198.818374634,208.490011042
164,190.486465454,276.792877197,295.048706055,209.249282837,375.842132568,177.837356567,189.657608032,262.171447754,342.478088379,264.302886963,234.896986528
165,192.002166748,194.617248535,229.081207275,188.121871948,248.613189697,301.891571045,243.165939331,248.762145996,221.751541138,296.921478271,214.993487271
166,224.697998047,261.653686523,189.354995728,214.523910522,182.839096069,205.120147705,150.188262939,207.648223877,234.676452637,210.603622437,189.209672408
167,170.875305176,268.081604004,274.761474609,237.122695923,257.347869873,317.30960083,171.080184937,209.586425781,226.519592285,204.117431641,212.436562278
168,206.024658203,232.428878784,216.297149658,272.951690674,209.27355957,275.8777771,224.545684814,196.64616394,193.091125488,208.62310791,203.250890558
169,197.88949585,245.233398438,188.182571411,230.0390625,295.765319824,219.895065308,254.31338501,223.101211548,164.745239258,189.472412109,200.785196478
170,218.021194458,159.246566772,180.078536987,177.678985596,201.809158325,197.100372314,313.297546387,266.350067139,211.882247925,201.233520508,193.336199674
171,187.645004272,273.981140137,150.413085938,219.650161743,201.371231079,176.047851562,255.85710144,202.281295776,295.048309326,250.442825317,201.158000599
172,288.258758545,200.421600342,261.174163818,163.639038086,230.798034668,257.511474609,257.332946777,218.942352295,133.962844849,195.784362793,200.711416071
173,187.405395508,195.732040405,276.48260498,168.112243652,234.82119751,184.627853394,218.045852661,289.069549561,252.697769165,230.866470337,203.441907016
174,281.915039062,193.633560181,284.327697754,203.762237549,279.838928223,199.840438843,177.188720703,211.226348877,250.071029663,213.604263306,208.67347856
175,206.37059021,236.214111328,276.544250488,190.887130737,327.506988525,213.548843384,186.354202271,189.346572876,200.730636597,258.112915039,207.783294678
176,234.335327148,248.99508667,172.700393677,288.221832275,334.033660889,258.339599609,231.147216797,199.575363159,167.60395813,242.574127197,216.138778687
177,177.159667969,260.876556396,293.614807129,230.718597412,196.870285034,152.637145996,229.459777832,278.341522217,155.49180603,185.503936768,196.424918435
